微博昵称,微博正文,是否认证,是否会员,是否有签名,微博数,关注数,粉丝数,分组数,转发数,原创数,参与话题数,@数,互相关注数
爱Adam_,回回,1,1,1,2604,353,2663,1,646,1958,1376,734,93
西瓜放盐会更甜,回复:我记得他有俩老婆的名场面,1,1,1,494,399,436,1,247,247,243,89,74
思莹的莹,2月12日等着看周深！不见不散！！,1,1,1,6121,584,1054,2,1160,4961,2324,1493,5
平平无奇的追星小吃货,等一曲入心 和周深一起过年,1,1,1,2219,433,1464,1,406,1813,763,325,24
啊宽宽kk,周深大年初一不见不散,1,1,1,15818,294,903,1,2878,12940,3522,2082,9
小雨的温暖一天,好帅 ,1,1,1,6927,588,1858,1,3713,3214,9455,3834,20
imzxZoe,王鸥回归大家庭了 好感动 期待这一期 ,1,1,1,1036,86,42,1,3,1033,36,5,9
宋荞伊,鸥姐,1,1,1,1433,184,1144,1,852,581,1216,645,7
Angie啾-圆,鸥终于回来了,1,1,1,5993,701,488,1,4562,1431,4323,2598,17
JNWang·,回复:我已经看完了,0,1,1,9414,490,812,1,6586,2828,3835,2980,11
七秒记忆的青柠 女/湖南         ,我要哭了,0,0,1,93,458,174,1,14,79,4,9,17
暴躁的隐形人,都什么时候了，还有脑瘫选没有，想死的快是吗,0,1,1,6,134,98,1,0,6,6,0,4
我是真的想回家 男/其他         ,才一年疫苗就出来了？不是说有变异病毒🦠 嘛,0,0,0,133,52,58,1,89,44,78,8,2
阳阳阳-xy,已接种第一针,0,1,1,731,138,317,1,67,664,105,26,34
随身小WiFi 女/安徽         ,已接种完毕。,0,0,0,31,193,383,1,2,29,7,2,24
阿泽泽泽ez 女/山东         ,回复:那是个体差异性。莫非只有你打了？,0,0,1,280,171,95,1,101,179,171,45,20
kid花想藜 男/广东         ,目前就一线工种，公司统一申请接种,0,0,1,155,428,134,1,146,9,5,10,14
咩里咩气 女/上海         ,没有、又是得过肿瘤、又是常年服用优甲乐、我没这个资格拥有它,0,0,0,821,1089,245,2,385,436,347,191,0
lza最最最最最最爱 女/其他         ,回复:一共要打多少针呀，我对手臂针的恐惧比生我儿子的时候还怕,0,0,0,4,8,1,1,0,4,3,0,0
·捡星星的月亮·,回复 :打过的告诉你，没有任何不适感,0,1,1,222,227,20,1,127,95,57,14,14
敏儿share 女/四川         ,已经接种了第二针 没任何不良反应 很好,0,0,0,25,196,18,1,1,24,4,1,0
稻田里的七里香,每天都在给别人接种,0,1,1,89,181,48,1,51,38,18,4,6
说不悔llldd 女/其他         ,回复:因为有病不能打,0,0,0,136,391,144,1,67,69,75,55,0
稻田里的七里香,每天都在给别人接种,0,1,1,89,181,48,1,58,31,18,4,6
说不悔llldd 女/其他         ,回复:因为有病不能打,0,0,0,136,391,144,1,67,69,72,54,0
阿泽泽泽ez 女/山东         ,回复:会有不适感，而且有些体质弱或者有过敏反应的也不能打、进而不想打,0,0,1,280,171,95,1,98,182,171,45,20
灰灰崽·,第二针迟迟打不了,0,1,1,18,90,36,1,4,14,3,1,34
ghdcomau 男/天津         ,都什么时候了，还有弱智选有，是没挨过武汉长生的毒打么，哈哈,0,0,0,24,74,1,1,1,23,1,3,0
淮水竹亭81115 女/其他         ,回复:医院可以,0,0,0,4,98,2,1,2,2,7,1,0
花落_亦相依丶,已接种,0,1,1,108,170,426,1,2,106,8,1,33
太阳中的鸟,回复:我不愿意，因为过敏体质，每个人都有自己的考量,0,1,1,343,186,46,1,207,136,207,38,7
暴躁的隐形人,回复:不让打和愿不愿意有关系？,0,1,1,6,134,98,1,0,6,6,0,4
暴躁的隐形人,回复:愿意不愿意跟有没有疫情没有关系吧？,0,1,1,6,134,98,1,0,6,6,0,4
M孟小M,2月1日已打完第二针,0,1,1,45,187,138,12,4,41,4,4,15
章笑亦 女/山东         ,回复:？？？我们这边又没有疫情，暂时不打没问题啊,0,0,0,21,74,53,1,19,2,4,9,6
方方的评论区 男/其他         ,回复:？？？人家打是自由吧,0,0,1,19,22,4,1,12,7,11,1,0
暴躁的隐形人,都什么时候了，还有脑瘫选没有，想死的快是吗,0,1,1,6,134,98,1,0,6,6,0,4
起名字真难呐梦露 男/其他         ,回复:不是说变异了就没用了，除非病毒蛋白质外壳全变了，那就没用了，现在所指的变异都是部分蛋白质变异,0,0,0,0,6,3,1,0,0,0,0,0
