昵称,是否认证,是否会员,性别,地区,微博数,关注数,粉丝数,分组数
议科技,1,1,男,海外,111059,42,18142,1
智慧直勃,0,1,男,北京,2487,881,498,2
科大讯飞sz002230 女/北京         ,0,0,账,为大,2707,5,5925,1
手机中国,1,1,男,北京,42313,746,4920209,1
海南微时代,1,1,男,海南,18583,1635,249557,2
米科技君,1,1,男,四川,1287,596,252451,1
唐山特价房,1,0,女,河北,6816,682,4885,1
燃点时刻MG,1,1,男,河北,5804,201,1128515,1
新浪科技,1,1,女,北京,142933,2234,24371572,3
白龙江林区检察,1,1,男,甘肃,20515,143,336,1
重庆长安网,1,0,女,重庆,40952,359,58609,1
斯巴-达克斯,1,0,男,河北,8393,5865,3673,1
白开水_不加糖也怪甜 女/河北         ,0,0,哥,白哥,1122,208,126,1
新浪湖北健康频道,1,1,男,湖北,22812,1142,61358,3
河北综合广播,1,1,男,河北,67308,689,375180,4
七环视频,1,1,男,上海,33088,244,3149742,1
动感锋尚2021DSFSCN,0,1,男,黑龙,3593,4219,364,2
人民日报,1,1,男,北京,128743,3056,125316839,1
宁波检察,1,0,男,浙江,27973,631,64907,1
顧魏我媽媽讓你當女婿 女/江西         ,0,0,有,强的,1157,506,183,1
山月里xxx,0,1,女,重庆,3402,368,173,1
早点睡吧小兔叽,0,1,女,辽宁,1893,741,306,1
桃桃坚果牛奶酥 女/山东         ,0,0,肖,平安,971,64,231,1
白日梦可以天天做,0,1,女,广东,2818,617,541,1
我想我喜欢你1997,0,1,女,广东,537,63,65,1
你是天边星河,1,1,女,其他,2564,245,363,1
捞里岛,0,1,女,海外,1488,224,1200,1
掉渣的面包啊,0,1,女,其他,7521,651,523,1
追剧,1,1,男,北京,19384,1332,8587175,6
华尔街见闻APP,1,1,男,海外,130786,746,3765066,2
凤凰周刊,1,1,男,北京,65827,731,21604602,1
沿江检察,1,1,男,黑龙,20574,3941,29138,1
三言财经,1,1,女,北京,26695,376,69129,1
波段稳赢l利他利天下,0,1,男,山东,236,96,1225,1
科技猩球,1,1,男,北京,3711,404,8894124,1
哈尔滨大学城那些事儿,1,1,男,黑龙,1438,99,18832,1
西湖检察,1,0,男,浙江,27470,340,3775,1
电商报,1,1,男,广东,78041,490,3998179,2
ethan-meng 男/上海         ,0,0,T,DA,2154,160,142,1
大同共青团,1,1,男,山西,27194,898,44649,2
九江瑞昌发布,1,1,男,江西,19153,331,26421,1
一斤憨憨下凡尘,1,1,男,广东,1864,422,1181,1
娱乐爱追剧,1,1,男,山东,4294,230,117364,1
云间水月,1,1,女,广东,2298,555,119228,1
维护正义的铁粉,1,1,男,江西,1819,796,7004,1
日光冲天,1,1,男,浙江,33327,2759,122440,1
新华网,1,1,男,北京,119918,965,75111292,1
